DATE,CNYUSD
2016-01-29,6.5752
2016-02-01,6.5778
2016-02-02,6.5795
2016-02-03,6.5765
2016-02-04,6.5638
2016-02-05,6.5710
2016-02-08,6.5710
2016-02-09,6.5710
2016-02-10,6.5710
2016-02-11,6.5710
2016-02-12,6.5710
2016-02-15,.
2016-02-16,6.5154
2016-02-17,6.5270
2016-02-18,6.5163
2016-02-19,6.5202
2016-02-22,6.5197
2016-02-23,6.5263
2016-02-24,6.5290
2016-02-25,6.5320
2016-02-26,6.5390
2016-02-29,6.5525
2016-03-01,6.5500
2016-03-02,6.5499
2016-03-03,6.5312
2016-03-04,6.5064
2016-03-07,6.5155
2016-03-08,6.5044
2016-03-09,6.5105
2016-03-10,6.5070
2016-03-11,6.4940
2016-03-14,6.4984
2016-03-15,6.5110
2016-03-16,6.5189
2016-03-17,6.4745
2016-03-18,6.4682
2016-03-21,6.4812
2016-03-22,6.4876
2016-03-23,6.5035
2016-03-24,6.5124
2016-03-25,6.5131
2016-03-28,6.5051
2016-03-29,6.5063
2016-03-30,6.4648
2016-03-31,6.4480
2016-04-01,6.4776
2016-04-04,6.4776
2016-04-05,6.4760
2016-04-06,6.4780
2016-04-07,6.4599
2016-04-08,6.4628
2016-04-11,6.4580
2016-04-12,6.4639
2016-04-13,6.4768
2016-04-14,6.4810
2016-04-15,6.4730
2016-04-18,6.4717
2016-04-19,6.4571
2016-04-20,6.4675
2016-04-21,6.4810
2016-04-22,6.5004
2016-04-25,6.4900
2016-04-26,6.4905
2016-04-27,6.4940
2016-04-28,6.4735
2016-04-29,6.4738
2016-05-02,6.4738
2016-05-03,6.4900
2016-05-04,6.4945
2016-05-05,6.5032
2016-05-06,6.4970
2016-05-09,6.5140
2016-05-10,6.5150
2016-05-11,6.4910
2016-05-12,6.5140
2016-05-13,6.5285
2016-05-16,6.5184
2016-05-17,6.5170
2016-05-18,6.5370
2016-05-19,6.5440
2016-05-20,6.5485
2016-05-23,6.5533
2016-05-24,6.5552
2016-05-25,6.5538
2016-05-26,6.5540
2016-05-27,6.5615
2016-05-30,.
2016-05-31,6.5798
2016-06-01,6.5748
2016-06-02,6.5815
2016-06-03,6.5638
2016-06-06,6.5611
2016-06-07,6.5710
2016-06-08,6.5600
2016-06-09,6.5590
2016-06-10,6.5590
2016-06-13,6.5823
2016-06-14,6.5930
2016-06-15,6.5785
2016-06-16,6.5899
2016-06-17,6.5849
2016-06-20,6.5768
2016-06-21,6.5893
2016-06-22,6.5750
2016-06-23,6.5740
2016-06-24,6.6150
2016-06-27,6.6481
2016-06-28,6.6450
2016-06-29,6.6350
2016-06-30,6.6459
2016-07-01,6.6547
2016-07-04,.
2016-07-05,6.6770
2016-07-06,6.6900
2016-07-07,6.6790
2016-07-08,6.6878
2016-07-11,6.6917
2016-07-12,6.6860
2016-07-13,6.6832
2016-07-14,6.6801
2016-07-15,6.6865
2016-07-18,6.7013
2016-07-19,6.6931
2016-07-20,6.6760
2016-07-21,6.6735
2016-07-22,6.6760
2016-07-25,6.6783
2016-07-26,6.6690
2016-07-27,6.6680
2016-07-28,6.6538
2016-07-29,6.6371
2016-08-01,6.6421
2016-08-02,6.6239
2016-08-03,6.6320
2016-08-04,6.6388
2016-08-05,6.6530
2016-08-08,6.6597
2016-08-09,6.6530
2016-08-10,6.6345
2016-08-11,6.6274
2016-08-12,6.6324
2016-08-15,6.6370
2016-08-16,6.6240
2016-08-17,6.6328
2016-08-18,6.6297
2016-08-19,6.6515
2016-08-22,6.6475
2016-08-23,6.6378
2016-08-24,6.6562
2016-08-25,6.6560
2016-08-26,6.6690
2016-08-29,6.6775
2016-08-30,6.6778
2016-08-31,6.6776
2016-09-01,6.6713
2016-09-02,6.6790
2016-09-05,.
2016-09-06,6.6722
2016-09-07,6.6600
2016-09-08,6.6640
2016-09-09,6.6778
2016-09-12,6.6788
2016-09-13,6.6782
2016-09-14,6.6707
2016-09-15,6.6707
2016-09-16,6.6707
2016-09-19,6.6650
2016-09-20,6.6700
2016-09-21,6.6695
2016-09-22,6.6630
2016-09-23,6.6690
2016-09-26,6.6683
2016-09-27,6.6691
2016-09-28,6.6730
2016-09-29,6.6650
2016-09-30,6.6685
2016-10-03,6.6685
2016-10-04,6.6685
2016-10-05,6.6685
2016-10-06,6.6685
2016-10-07,6.6685
2016-10-10,.
2016-10-11,6.7190
2016-10-12,6.7180
2016-10-13,6.7248
2016-10-14,6.7277
2016-10-17,6.7350
2016-10-18,6.7401
2016-10-19,6.7370
2016-10-20,6.7439
2016-10-21,6.7654
2016-10-24,6.7728
2016-10-25,6.7780
2016-10-26,6.7706
2016-10-27,6.7819
2016-10-28,6.7760
2016-10-31,6.7735
2016-11-01,6.7630
2016-11-02,6.7606
2016-11-03,6.7612
2016-11-04,6.7534
2016-11-07,6.7740
2016-11-08,6.7840
2016-11-09,6.7769
2016-11-10,6.7987
2016-11-11,.
2016-11-14,6.8447
2016-11-15,6.8556
2016-11-16,6.8770
2016-11-17,6.8674
2016-11-18,6.8873
2016-11-21,6.8918
2016-11-22,6.8880
2016-11-23,6.9195
2016-11-24,.
2016-11-25,6.9176
2016-11-28,6.9055
2016-11-29,6.8933
2016-11-30,6.8837
2016-12-01,6.8830
2016-12-02,6.8830
2016-12-05,6.8775
2016-12-06,6.8790
2016-12-07,6.8780
2016-12-08,6.8771
2016-12-09,6.9042
2016-12-12,6.9045
2016-12-13,6.8984
2016-12-14,6.9025
2016-12-15,6.9410
2016-12-16,6.9580
2016-12-19,6.9506
2016-12-20,6.9470
2016-12-21,6.9390
2016-12-22,6.9473
2016-12-23,6.9432
2016-12-26,.
2016-12-27,6.9491
2016-12-28,6.9559
2016-12-29,6.9535
2016-12-30,6.9430
2017-01-02,.
2017-01-03,6.9575
2017-01-04,6.9322
2017-01-05,6.8870
2017-01-06,6.9176
2017-01-09,6.9350
2017-01-10,6.9180
2017-01-11,6.9365
2017-01-12,6.8890
2017-01-13,6.8985
2017-01-16,.
2017-01-17,6.8520
2017-01-18,6.8360
2017-01-19,6.8680
2017-01-20,.
2017-01-23,6.8514
2017-01-24,6.8555
2017-01-25,6.8812
2017-01-26,6.8768
2017-01-27,6.8768
2017-01-30,6.8768
2017-01-31,6.8768
2017-02-01,6.8768
2017-02-02,6.8768
2017-02-03,6.8650
2017-02-06,6.8600
2017-02-07,6.8821
2017-02-08,6.8700
2017-02-09,6.8660
2017-02-10,6.8775
2017-02-13,6.8776
2017-02-14,6.8649
2017-02-15,6.8685
2017-02-16,6.8517
2017-02-17,6.8640
2017-02-20,.
2017-02-21,6.8810
2017-02-22,6.8765
2017-02-23,6.8622
2017-02-24,6.8645
2017-02-27,6.8675
2017-02-28,6.8665
2017-03-01,6.8794
2017-03-02,6.8868
2017-03-03,6.8954
2017-03-06,6.8955
2017-03-07,6.9000
2017-03-08,6.9113
2017-03-09,6.9086
2017-03-10,6.9050
2017-03-13,6.9050
2017-03-14,6.9130
2017-03-15,6.9132
2017-03-16,6.9130
2017-03-17,6.9000
2017-03-20,6.9050
2017-03-21,6.8830
2017-03-22,6.8785
2017-03-23,6.8843
2017-03-24,6.8803
2017-03-27,6.8687
2017-03-28,6.8779
2017-03-29,6.8879
2017-03-30,6.8870
2017-03-31,6.8832
2017-04-03,6.8832
2017-04-04,6.8832
2017-04-05,6.8920
2017-04-06,6.8955
2017-04-07,6.8978
2017-04-10,6.8988
2017-04-11,6.8893
2017-04-12,6.8890
2017-04-13,6.8865
2017-04-14,6.8835
2017-04-17,6.8800
2017-04-18,6.8778
2017-04-19,6.8860
2017-04-20,6.8800
2017-04-21,6.8845
2017-04-24,6.8840
2017-04-25,6.8824
2017-04-26,6.8918
2017-04-27,6.8958
2017-04-28,6.8900
2017-05-01,6.8900
2017-05-02,6.8949
2017-05-03,6.8968
2017-05-04,6.8959
2017-05-05,6.9021
2017-05-08,6.9040
2017-05-09,6.9060
2017-05-10,6.9011
2017-05-11,6.9033
2017-05-12,6.8972
2017-05-15,6.8900
2017-05-16,6.8840
2017-05-17,6.8773
2017-05-18,6.8880
2017-05-19,6.8830
2017-05-22,6.8828
2017-05-23,6.8880
2017-05-24,6.8883
2017-05-25,6.8672
2017-05-26,6.8525
2017-05-29,.
2017-05-30,6.8525
2017-05-31,6.8098
2017-06-01,6.8029
2017-06-02,6.8085
2017-06-05,6.8030
2017-06-06,6.7945
2017-06-07,6.7935
2017-06-08,6.7990
2017-06-09,6.7970
2017-06-12,6.7974
2017-06-13,6.7981
2017-06-14,6.7888
2017-06-15,6.8061
2017-06-16,6.8097
2017-06-19,6.8180
2017-06-20,6.8285
2017-06-21,6.8275
2017-06-22,6.8275
2017-06-23,6.8345
2017-06-26,6.8382
2017-06-27,6.8100
2017-06-28,6.7984
2017-06-29,6.7840
2017-06-30,6.7793
2017-07-03,6.7984
2017-07-04,.
2017-07-05,6.7995
2017-07-06,6.7990
2017-07-07,6.8039
2017-07-10,6.8026
2017-07-11,6.8010
2017-07-12,6.7865
2017-07-13,6.7825
2017-07-14,6.7741
2017-07-17,6.7690
2017-07-18,6.7451
2017-07-19,6.7511
2017-07-20,6.7570
2017-07-21,6.7663
2017-07-24,6.7488
2017-07-25,6.7495
2017-07-26,6.7530
2017-07-27,6.7410
2017-07-28,6.7362
2017-07-31,6.7240
2017-08-01,6.7170
2017-08-02,6.7200
2017-08-03,6.7150
2017-08-04,6.7272
2017-08-07,6.7207
2017-08-08,6.7049
2017-08-09,6.6720
2017-08-10,6.6460
2017-08-11,6.6612
2017-08-14,6.6695
2017-08-15,6.6845
2017-08-16,6.6900
2017-08-17,6.6730
2017-08-18,6.6700
2017-08-21,6.6630
2017-08-22,6.6600
2017-08-23,6.6569
2017-08-24,6.6600
2017-08-25,6.6465
2017-08-28,6.6084
2017-08-29,6.5945
2017-08-30,6.5918
2017-08-31,6.5888
2017-09-01,6.5552
2017-09-04,.
2017-09-05,6.5345
2017-09-06,6.5221
2017-09-07,6.4830
2017-09-08,6.4773
2017-09-11,6.5254
2017-09-12,6.5334
2017-09-13,6.5400
2017-09-14,6.5520
2017-09-15,6.5500
2017-09-18,6.5725
2017-09-19,6.5800
2017-09-20,6.5700
2017-09-21,6.5861
2017-09-22,6.5899
2017-09-25,6.6189
2017-09-26,6.6371
2017-09-27,6.6400
2017-09-28,6.6591
2017-09-29,6.6533
2017-10-02,6.6533
2017-10-03,6.6533
2017-10-04,6.6533
2017-10-05,6.6533
2017-10-06,6.6533
2017-10-09,.
2017-10-10,6.5712
2017-10-11,6.5870
2017-10-12,6.5855
2017-10-13,6.5785
2017-10-16,6.5885
2017-10-17,6.6220
2017-10-18,6.6250
2017-10-19,6.6126
2017-10-20,6.6185
2017-10-23,6.6380
2017-10-24,6.6335
2017-10-25,6.6350
2017-10-26,6.6392
2017-10-27,6.6498
2017-10-30,6.6498
2017-10-31,6.6328
2017-11-01,6.6018
2017-11-02,6.6068
2017-11-03,6.6360
2017-11-06,6.6311
2017-11-07,6.6380
2017-11-08,6.6249
2017-11-09,6.6378
2017-11-10,.
2017-11-13,6.6385
2017-11-14,6.6350
2017-11-15,6.6200
2017-11-16,6.6273
2017-11-17,6.6245
2017-11-20,6.6245
2017-11-21,6.6265
2017-11-22,6.6086
2017-11-23,.
2017-11-24,6.5998
2017-11-27,6.5967
2017-11-28,6.6044
2017-11-29,6.6091
2017-11-30,6.6090
2017-12-01,6.6137
2017-12-04,6.6185
2017-12-05,6.6170
2017-12-06,6.6136
2017-12-07,6.6173
2017-12-08,6.6199
2017-12-11,6.6175
2017-12-12,6.6210
2017-12-13,6.6171
2017-12-14,6.6091
2017-12-15,6.6088
2017-12-18,6.6088
2017-12-19,6.6088
2017-12-20,6.5771
2017-12-21,6.5833
2017-12-22,6.5750
2017-12-25,.
2017-12-26,6.5429
2017-12-27,6.5560
2017-12-28,6.5322
2017-12-29,6.5063
2018-01-01,.
2018-01-02,6.4910
2018-01-03,6.5010
2018-01-04,6.4915
2018-01-05,6.4875
2018-01-08,6.4970
2018-01-09,6.5263
2018-01-10,6.5055
2018-01-11,6.4956
2018-01-12,6.4607
2018-01-15,.
2018-01-16,6.4395
2018-01-17,6.4330
2018-01-18,6.4175
2018-01-19,6.3990
2018-01-22,6.4035
2018-01-23,6.4000
2018-01-24,6.3650
2018-01-25,6.3189
2018-01-26,6.3199
2018-01-29,6.3328
2018-01-30,6.3199
2018-01-31,6.2841
2018-02-01,6.2969
2018-02-02,6.2984
2018-02-05,6.2850
2018-02-06,6.2830
2018-02-07,6.2649
2018-02-08,6.3222
2018-02-09,6.2966
2018-02-12,6.3250
2018-02-13,6.3380
2018-02-14,6.3438
2018-02-15,6.3438
2018-02-16,6.3438
2018-02-19,.
2018-02-20,6.3351
2018-02-21,6.3351
2018-02-22,6.3471
2018-02-23,6.3329
2018-02-26,6.3115
2018-02-27,6.3169
2018-02-28,6.328
2018-03-01,6.3565
2018-03-02,6.3428
2018-03-05,6.3491
2018-03-06,6.3093
2018-03-07,6.3225
2018-03-08,6.3389
2018-03-09,6.3285
2018-03-12,6.327
2018-03-13,6.318
2018-03-14,6.314
2018-03-15,6.3202
2018-03-16,6.33
2018-03-19,6.3291
2018-03-20,6.3328
2018-03-21,6.32
2018-03-22,6.331
2018-03-23,6.311
2018-03-26,6.2685
2018-03-27,6.2781
2018-03-28,6.2946
2018-03-29,6.2876
2018-03-30,6.2726
2018-04-02,6.2785
2018-04-03,6.2881
2018-04-04,6.3045
2018-04-05,6.3045
2018-04-06,6.3045
2018-04-09,6.3035
2018-04-10,6.2798
2018-04-11,6.2655
2018-04-12,6.2876
2018-04-13,6.2725
2018-04-16,6.2752
2018-04-17,6.2804
2018-04-18,6.2722
2018-04-19,6.2765
2018-04-20,6.2945
2018-04-23,6.3158
2018-04-24,6.3035
2018-04-25,6.3236
2018-04-26,6.334
2018-04-27,6.3325
2018-04-30,6.3325
2018-05-01,6.3325
2018-05-02,6.361
2018-05-03,6.352
2018-05-04,6.3589
2018-05-07,6.364
2018-05-08,6.369
2018-05-09,6.3585
2018-05-10,6.344
2018-05-11,6.3333
2018-05-14,6.336
2018-05-15,6.376
2018-05-16,6.3706
2018-05-17,6.3645
2018-05-18,6.3768
2018-05-21,6.3815
2018-05-22,6.366
2018-05-23,6.3875
2018-05-24,6.3757
2018-05-25,6.3903
2018-05-28,.
2018-05-29,6.4162
2018-05-30,6.4175
2018-05-31,6.4096
2018-06-01,6.418
2018-06-04,6.405
2018-06-05,6.4042
2018-06-06,6.385
2018-06-07,6.389
2018-06-08,6.4031
2018-06-11,6.4
2018-06-12,6.3992
2018-06-13,6.3944
2018-06-14,6.398
2018-06-15,6.4379
2018-06-18,6.4379
2018-06-19,6.4802
2018-06-20,6.4713
2018-06-21,6.49
2018-06-22,6.5027
2018-06-25,6.536
2018-06-26,6.5759
2018-06-27,6.5992
2018-06-28,6.6235
2018-06-29,6.6171
2018-07-02,6.6632
2018-07-03,6.6368
2018-07-04,.
2018-07-05,6.6341
2018-07-06,6.6396
2018-07-09,6.6123
2018-07-10,6.6296
2018-07-11,6.6764
2018-07-12,6.663
2018-07-13,6.69
2018-07-16,6.6866
2018-07-17,6.7018
2018-07-18,6.7161
2018-07-19,6.7701
2018-07-20,6.7659
2018-07-23,6.7927
2018-07-24,6.7912
2018-07-25,6.7658
